"id","capacity","modcountry","extmajor","extminor"
"duraEuroposAmphitheater",1000.0,"Syria",50.0,44.0
"arlesAmphitheater",23354.0,"France",136.0,107.0
"lyonAmphitheater",20000.0,"France",105.0,""
"ludusMagnusArena","","Italy",105.0,""
"romeFlavianAmphitheater",50000.0,"Italy",189.0,156.0
"romeAmphitheatrumCastrense",7000.0,"Italy",88.0,75.8
"eleutheropolisAmphitheater",3500.0,"Israel",71.0,56.0
"pompeiiAmphitheater",22000.0,"Italy",135.0,104.0
"meridaAmphitheater",15000.0,"Spain",126.0,102.0
"newsteadAmphitheater",1500.0,"United Kingdom",70.0,60.0
"conimbrigaAmphitheater",4000.0,"Portugal",94.0,80.0
"cumaeAmphitheater","","Italy",114.0,84.0
"pozzuoliFlavianAmphitheater",35700.0,"Italy",149.0,116.0
"pozzuoliEarlyAmphitheater","","Italy",149.0,116.0
"syracuseAmphitheater",28773.0,"Italy",146.8,118.7
"carthageAmphitheater",30000.0,"Tunisia",120.0,93.0
"hadrianVillaAmphitheater","","Italy",120.0,93.0
"corinthAmphitheater",14000.0,"Greece",98.0,70.0
"marcianopolisAmphitheater",4000.0,"Bulgaria",70.0,60.0
"porolissumAmphitheater","","Romania",84.0,75.0
"nijmegenAmphitheater","","Netherlands",84.0,75.0
"carnuntumMilitaryAmphitheater",8000.0,"Austria",99.5,81.5
"carnuntumLudus","","Austria",99.5,81.5
"carnuntumCivilianAmphitheater",13000.0,"Austria",129.0,113.0
"leptisMagnaAmphitheater",16000.0,"Libya",121.0,111.0
"empuriesAmphitheater",3343.0,"Spain",86.0,54.0
"tarragonaAmphitheater",15000.0,"Spain",95.0,69.5
"cagliariAmphitheater",12283.0,"Italy",92.8,79.2
"italicaAmphitheater",25000.0,"Spain",160.0,136.0
"segobrigaAmphitheater",7500.0,"Spain",75.0,64.0
"catiniaAmphitheater",16000.0,"Italy",90.0,70.0
"paestumAmphitheater",4500.0,"Italy",79.0,59.0
"lunaAmphitheater","","Italy",87.0,71.0
"cassinoAmphitheater","","Italy",84.0,66.0
"viminaciumAmphitheater",12000.0,"Serbia",85.0,""
"flaviaSolvaAmphitheater",2729.0,"Austria",97.0,45.0
"roselleAmphitheater",2309.0,"Italy",48.0,37.0
"parisAmphitheater",15000.0,"France",48.0,37.0
"octodurusForumClaudiiVallensiumAmphitheater",15550.0,"Switzerland",118.0,106.0
"cyreneAmphitheater","","Libya","",""
"libarnaAmphitheater",5380.0,"Italy",88.0,58.7
"luceraAmphitheater",17149.0,"Italy",126.8,94.5
"avellaAmphitheater","","Italy",108.0,70.0
"nimesAmphitheater",24000.0,"France",133.4,101.4
"charterhouseAmphitheater",2179.0,"United Kingdom",50.0,39.0
"chesterAmphitheater","","United Kingdom",95.5,86.6
"gennesAmphitheater",5000.0,"France","",""
"scythopolisNysaAmphitheater","","Israel","",""
"roccellettaAmphitheater","","Italy",88.0,64.0
"bordeauxAmphitheater",22130.0,"France",132.3,110.6
"oudnaAmphitheater",11832.0,"Tunisia",96.0,81.0
"carthagoNovaAmphitheater","","Spain",69.0,69.0
"virunumAmphitheater","","Austria",96.0,42.0
"carsulaeAmphitheater",5945.0,"Italy",86.5,62.0
"florenceAmphitheater","","Italy",124.0,""
"ocriculumAmphitheater",17812.0,"Italy",120.0,98.0
"lixusAmphitheater","","Morocco",120.0,98.0
"arezzoAmphitheater",8000.0,"Italy",109.4,80.0
"larinoAmphitheater","","Italy",98.0,86.0
"ferentoAmphitheater","","Italy",68.0,40.0
"allifaeAmphitheater","","Italy",107.0,84.0
"cimiezAmphitheater",4245.0,"France",55.0,44.0
"hydataHypsitanaForumTraianiAmphitheater","","Italy",55.0,44.0
"luccaAmphitheater",15048.0,"Italy",124.0,96.0
"hispellumAmphitheater","","Italy",82.0,""
"veronaAmphitheater",30000.0,"Italy",152.43,123.42
"aquincumCivilAmphitheater","","Hungary",86.5,75.5
"aquincumMilitaryAmphitheater","","Hungary",131.0,107.0
"aldburoughAmphitheater","","United Kingdom",131.0,107.0
"perigueuxAmphitheater","","France",131.0,113.0
"cividateCamunoAmphitheater","","Italy",73.0,60.0
"grumentoAmphitheater",7657.0,"Italy",90.0,70.0
"albaFucensAmphitheater",10720.0,"Italy",103.0,76.0
"augstAmphitheater",14313.0,"Switzerland",102.0,87.0
"sutriumAmphitheater",8500.0,"Italy",77.0,""
"sarmizegetusaAmphitheater","","Romania",88.0,69.0
"salonaAmphitheater",13380.0,"Croatia",124.75,100.65
"londonAmphitheater",6500.0,"United Kingdom",100.0,85.0
"tiburAmphitheater","","Italy",85.0,""
"caerleonAmphitheater",6000.0,"United Kingdom",80.0,66.0
"telesiaAmphitheater",9000.0,"Italy",112.0,""
"urbisagliaAmphitheater",5150.0,"Italy",98.0,71.0
"saintesAmphitheater",20197.0,"France",126.4,101.6
"assisiAmphitheater","","Italy","",""
"durresAmphitheater",20000.0,"Albania",132.4,113.2
"lambaesisAmphitheater",15400.0,"Algeria",104.6,94.0
"mactarisAmphitheater",5000.0,"Tunisia",63.2,49.6
"cirencesterAmphitheater","","United Kingdom",63.2,49.6
"vindonissaAmphitheater",15142.0,"Switzerland",112.0,98.0
"thysdrusSmallAmphitheater",9000.0,"Tunisia",92.0,72.0
"thysdrusAmphitheater",35000.0,"Tunisia",148.0,122.0
"frejusAmphitheater",12000.0,"France",113.7,85.7
"gortynAmphitheater","","Greece",85.0,""
"leptiminusAmphitheater",9000.0,"Tunisia",81.0,62.0
"miciaAmphitheater",1500.0,"Romania",56.0,37.0
"gemellaeAmphitheater",3204.0,"Algeria",72.0,52.0
